Service , Message , Max , Min , Average , Count , frequency , TimedOut

<<<<<<< HEAD
Stream,setLogBits,7.0004,7.0004,7.0004,1,0
=======
Stream,setLogBits,10.0006,10.0006,10.0006,1,0
>>>>>>> scenario-params
